nums,x_alpha,y_alpha,train_acc,test_acc
"(0, 1)",0.0,0.0,0.9796747967479674,0.9763593380614657
"(0, 1)",0.0,0.0,0.9796747967479674,0.9763593380614657
"(0, 1)",0.1,0.0,0.9471544715447154,0.9702127659574468
"(0, 1)",0.0,0.1,0.8902439024390244,0.9777777777777777
"(0, 1)",0.2,0.0,0.8983739837398373,0.9730496453900709
"(0, 1)",0.0,0.2,0.7804878048780488,0.9763593380614657
"(0, 1)",0.30000000000000004,0.0,0.8617886178861789,0.9749408983451536
"(0, 1)",0.0,0.30000000000000004,0.6829268292682927,0.9706855791962175
"(0, 1)",0.4,0.0,0.8048780487804879,0.9702127659574468
"(0, 1)",0.0,0.4,0.573170731707317,0.941371158392435
"(0, 1)",0.5,0.0,0.7357723577235772,0.9716312056737588
"(0, 1)",0.0,0.5,0.4959349593495935,0.7002364066193854
"(0, 1)",0.6000000000000001,0.0,0.6626016260162602,0.9659574468085106
"(0, 1)",0.0,0.6000000000000001,0.6178861788617886,0.1111111111111111
"(0, 1)",0.7000000000000001,0.0,0.6382113821138211,0.9692671394799054
"(0, 1)",0.0,0.7000000000000001,0.7113821138211383,0.0789598108747045
"(0, 1)",0.8,0.0,0.5813008130081301,0.9574468085106383
"(0, 1)",0.0,0.8,0.7601626016260162,0.07801418439716312
"(0, 1)",0.9,0.0,0.540650406504065,0.9456264775413712
"(0, 1)",0.0,0.9,0.8617886178861789,0.08132387706855793
"(1, 9)",0.0,0.0,0.9347826086956522,0.949160447761194
"(1, 9)",0.0,0.0,0.9347826086956522,0.949160447761194
"(1, 9)",0.1,0.0,0.8913043478260869,0.9538246268656716
"(1, 9)",0.0,0.1,0.8260869565217391,0.9547574626865671
"(1, 9)",0.2,0.0,0.9130434782608695,0.9547574626865671
"(1, 9)",0.0,0.2,0.8260869565217391,0.9636194029850746
"(1, 9)",0.30000000000000004,0.0,0.8695652173913043,0.9533582089552238
"(1, 9)",0.0,0.30000000000000004,0.782608695652174,0.9603544776119403
"(1, 9)",0.4,0.0,0.8260869565217391,0.9524253731343284
"(1, 9)",0.0,0.4,0.717391304347826,0.9430970149253731
"(1, 9)",0.5,0.0,0.782608695652174,0.9575559701492538
"(1, 9)",0.0,0.5,0.5434782608695652,0.5718283582089553
"(1, 9)",0.6000000000000001,0.0,0.6956521739130435,0.9556902985074627
"(1, 9)",0.0,0.6000000000000001,0.4782608695652174,0.1515858208955224
"(1, 9)",0.7000000000000001,0.0,0.6739130434782609,0.9566231343283582
"(1, 9)",0.0,0.7000000000000001,0.5652173913043478,0.09375
"(1, 9)",0.8,0.0,0.5869565217391305,0.9575559701492538
"(1, 9)",0.0,0.8,0.5869565217391305,0.09701492537313433
"(1, 9)",0.9,0.0,0.5,0.9542910447761194
"(1, 9)",0.0,0.9,0.7391304347826086,0.10727611940298508
"(3, 6)",0.0,0.0,0.9786324786324786,0.961890243902439
"(3, 6)",0.0,0.0,0.9786324786324786,0.961890243902439
"(3, 6)",0.1,0.0,0.8931623931623932,0.9583333333333334
"(3, 6)",0.0,0.1,0.8418803418803419,0.9664634146341463
"(3, 6)",0.2,0.0,0.8418803418803419,0.9563008130081301
"(3, 6)",0.0,0.2,0.7521367521367521,0.9654471544715447
"(3, 6)",0.30000000000000004,0.0,0.8034188034188035,0.9563008130081301
"(3, 6)",0.0,0.30000000000000004,0.688034188034188,0.9563008130081301
"(3, 6)",0.4,0.0,0.7521367521367521,0.9542682926829268
"(3, 6)",0.0,0.4,0.6282051282051282,0.9054878048780488
"(3, 6)",0.5,0.0,0.7051282051282052,0.9542682926829268
"(3, 6)",0.0,0.5,0.5341880341880342,0.49085365853658536
"(3, 6)",0.6000000000000001,0.0,0.6623931623931624,0.9588414634146342
"(3, 6)",0.0,0.6000000000000001,0.5769230769230769,0.14176829268292682
"(3, 6)",0.7000000000000001,0.0,0.6282051282051282,0.9486788617886179
"(3, 6)",0.0,0.7000000000000001,0.6495726495726496,0.11026422764227642
"(3, 6)",0.8,0.0,0.5897435897435898,0.9522357723577236
"(3, 6)",0.0,0.8,0.7222222222222222,0.11026422764227642
"(3, 6)",0.9,0.0,0.5085470085470085,0.943089430894309
"(3, 6)",0.0,0.9,0.8290598290598291,0.1133130081300813
